iter	Passed	Remaining
925	2978	238
926	2980	234
927	2982	231
928	2984	228
929	2985	224
930	2988	221
931	2990	218
932	2991	214
933	2992	211
934	2994	208
935	2998	205
936	3000	201
937	3004	198
938	3006	195
939	3008	192
940	3010	188
941	3011	185
942	3013	182
943	3014	178
944	3015	175
945	3016	172
946	3019	169
947	3021	165
948	3022	162
949	3023	159
950	3024	155
951	3025	152
952	3027	149
953	3028	146
954	3029	142
955	3030	139
956	3031	136
957	3034	133
958	3037	129
959	3038	126
960	3039	123
961	3040	120
962	3042	116
963	3043	113
964	3045	110
965	3046	107
966	3047	104
967	3049	100
968	3051	97
969	3052	94
970	3053	91
971	3054	87
972	3055	84
973	3057	81
974	3058	78
975	3059	75
976	3061	72
977	3063	68
978	3065	65
979	3066	62
980	3067	59
981	3069	56
982	3070	53
983	3071	49
984	3073	46
985	3074	43
986	3075	40
987	3076	37
988	3079	34
989	3082	31
990	3084	28
991	3085	24
992	3086	21
993	3087	18
994	3089	15
995	3090	12
996	3091	9
997	3095	6
998	3096	3
999	3098	0
